Vault;Percent
WETH;0.00%
crvSTETH;2.30%
USDC;1.63%
USDT;1.00%
DAI;1.07%
crvUSDP;0.07%
crvHUSD;0.00%
ThreePool;0.35%
crvBUSD;0.00%
crvUSDN;0.35%
convex_MIM;0.28%
crvThreeCrypto;0.24%
crvCVXCRV;0.07%
crv_UST_WORMHOLE;0.25%
crv_CRV_ETH;0.25%
crvHBTC;0.73%
crvRenWBTC;0.26%
sushi_USDC_WETH;0.83%
sushi_WBTC_WETH;0.07%
sushi_PHTR_ETH;0.06%
nft20_Muse;0.22%
nft20_Dudes;0.11%
nft20_Mooncat;0.00%
nft20_Meme;0.08%
bal_BAL_WETH;0.09%
UniV3_USDC_ETH;0.12%
UniV3_USDC_ETH_3000_4500;0%
UniV3_USDC_ETH_4200_5500;0.00%
UniV3_WBTC_ETH;0.18%
UniV3_ETH_USDT;0.13%
UniV3_USDT_ETH_3000_4500;0.00%
UniV3_ETH_USDT_4200_5500;0.00%
UniV3_DAI_ETH;0.10%
UniV3_DAI_ETH_3000_4500;0.00%
UniV3_DAI_ETH_4200_5500;0.00%
UniV3_UST_USDT;0.44%
UniV3_ETH_sETH2;0.52%
UniV3_BABL_ETH;0.22%
UniV3_DON_WETH_full_range;0.08%
UniV3_CNG_ETH;0.12%
UniV3_ORC_ETH;0.13%
liquity_LQTY;0.02%
uni_LOOKS_ETH;5.00%
looks_LOOKS;4.00%
sushi_YEL_ETH;0.24%
FARMsteadUSDC24;1.25%
__StrategicReserve;49.23%
__otherChainsCombined;5.41%
__ProfitSharing;21.90%
__FarmWeth;0.10%
__grainBuybackBot;0.50%
