Vault;Percent
quickswap_IFARM_QUICK;0.00%
quickswap_PSP_MATIC;0.00%
balancer_STABLE;0.05%
balancer_TRICRYPTO;0.02%
balancer_POLYBASE;0.05%
bal_USDC_WETH_polygon;0.01%
bal_TUSD_STABLE;0.05%
balancer_BTC;0.03%
jarvis_JEUR_USDC_HODL;0.17%
jarvis_JGBP_USDC_HODL;0.06%
jarvis_JCHF_USDC_HODL;0.07%
jarvis_AUR3_USDC;0.05%
jarvis_4EUR_HODL;0.55%
jarvis_DEN2_4EUR;0.17%
jarvis_2JPY_HODL;0.10%
jarvis_2CAD_HODL;0.08%
jarvis_2SGD_HODL;0.13%
jarvis_JRTMAY22_USDC;0.15%
SUSHI_GENE_ETH;0.15%
SUSHI_GNOME_ETH;0.15%
mUSD;0.05%
popsicle_ICE_WETH;0.01%
quick_YEL_MATIC;0.55%
crvTriCrypto3_polygon;0.20%
crvEurtUsd_polygon;0.20%
